"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"19841","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/255895","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","06-Mar-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","205200"
"19842","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/255895","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","06-Mar-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","273600"
"19843","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/255894","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","06-Mar-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","205200"
"19844","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/255894","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","06-Mar-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","205200"
"19845","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/255894","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","06-Mar-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","205200"
"19846","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/255893","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","19-Feb-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","615600"
"19847","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/255893","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","19-Feb-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","615600"
"19848","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/255893","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","19-Feb-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","615600"
"19849","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/255894","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","19-Feb-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","615600"
"19850","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/255894","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","19-Feb-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","615600"
"19851","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/255894","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","19-Feb-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","615600"
"19852","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/255895","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","19-Feb-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","615600"
"19853","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/255895","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","19-Feb-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","820800"
"19854","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250759","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","13-Mar-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","63129"
"19855","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250749","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","13-Mar-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","63129"
"19856","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250751","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","13-Mar-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","63129"
"19857","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250750","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","13-Mar-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","63129"
"19858","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250756","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","13-Mar-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","63129"
"19859","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250757","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","13-Mar-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","63129"
"19860","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250755","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","13-Mar-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","63129"
"19861","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250753","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","13-Mar-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","63129"
"19862","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250754","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","13-Mar-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","63129"
"19863","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250752","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","13-Mar-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","63129"
"19864","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250760","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","13-Mar-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","63129"
"19865","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250758","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","13-Mar-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","63129"
"19866","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250749","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","27-Jan-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","148945"
"19867","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250751","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","27-Jan-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","148945"
"19868","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250750","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","27-Jan-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","148945"
"19869","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250756","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","27-Jan-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","148945"
"19870","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250757","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","27-Jan-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","148945"
"19871","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250755","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","27-Jan-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","148945"
"19872","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250753","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","27-Jan-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","148945"
"19873","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250754","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","27-Jan-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","148945"
"19874","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250752","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","27-Jan-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","148945"
"19875","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250760","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","27-Jan-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","148945"
"19876","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250758","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","27-Jan-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","148945"
"19877","Uttar Pradesh","Lighting of public spaces","WS/MP201/2025-2026/250759","MAU(DISTRICT MAGISTRATE MAU_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","27-Jan-2026","SHRI GURU KRIPA NARSINGH ASSOCIATES","Payment Success","148945"
"19878","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2023-2024/16017","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","22-Jan-2024","POONAM JAISWAL","Payment Success","1483816"
"19879","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18291/2025-2026/153572","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","20-May-2026","KRANKACH GRAM PANCHAYAT","Payment Success","200000"
"19880","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Param Dev son of Amaru Ram","Payment Success","6400"
"19881","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Param Dev son of Amaru Ram","Payment Success","9000"
"19882","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Param Dev son of Amaru Ram","Payment Success","3500"
"19883","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Pardeep Kumar son of Roshan Lal","Payment Success","5000"
"19884","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Pardeep Kumar son of Roshan Lal","Payment Success","7500"
"19885","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Pardeep Kumar son of Roshan Lal","Payment Success","6400"
"19886","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Pardeep Kumar son of Roshan Lal","Payment Success","6400"
"19887","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Kamal Kumar son of Parkash Singh","Payment Success","10500"
"19888","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Kamal Kumar son of Parkash Singh","Payment Success","8000"
"19889","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Kamal Kumar son of Parkash Singh","Payment Success","9300"
"19890","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Kamal Kumar son of Parkash Singh","Payment Success","10800"
"19891","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2024-2025/164182","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","25-Mar-2025","Garg Trading Co","Payment Success","25400"
"19892","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","MS Darshan Singh and Sons BKO","Payment Success","49500"
"19893","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","MS Darshan Singh and Sons BKO","Payment Success","49500"
"19894","Madhya Pradesh","Purchase of mobile water tankers","WS/MP106/2023-2024/10167","SHAJAPUR(District Collector Shajapur_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","29-Nov-2024","MP State Agro Ind Corp Ltd Shajapur","Payment Success","77000"
"19895","Madhya Pradesh","Purchase of mobile water tankers","WS/MP106/2023-2024/10169","SHAJAPUR(District Collector Shajapur_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","29-Nov-2024","MP State Agro Ind Corp Ltd Shajapur","Payment Success","77000"
"19896","Madhya Pradesh","Purchase of mobile water tankers","WS/MP106/2023-2024/10170","SHAJAPUR(District Collector Shajapur_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","29-Nov-2024","MP State Agro Ind Corp Ltd Shajapur","Payment Success","77000"
"19897","Madhya Pradesh","Purchase of mobile water tankers","WS/MP106/2023-2024/10179","SHAJAPUR(District Collector Shajapur_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","29-Nov-2024","MP State Agro Ind Corp Ltd Shajapur","Payment Success","77000"
"19898","Madhya Pradesh","Purchase of mobile water tankers","WS/MP106/2023-2024/10180","SHAJAPUR(District Collector Shajapur_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","29-Nov-2024","MP State Agro Ind Corp Ltd Shajapur","Payment Success","77000"
